"OperationType","Title","PublicationDate","Guid","Description","DescriptionIsParsable","QuickDescription","Notes","SubChanges"
,"Office Online","7/15/2014 7:00:00 AM","fa204cfc-402a-4fe6-818e-f9105dfb303b","If 134.170.0.0/16 has already been added from the Office 365 list, the Office Online IPs are already included. For reference purposes we have added the following for the non-Brazil based customers (134.170.27.64/26, 134.170.48.0/26, 134.170.65.64/26, 134.170.128.192/26, 134.170.170.64/26). We are also adding 191.232.2.64/26 for Brazil based customers.","False",,,
,"Office 365","7/22/2014 7:00:00 AM","3bfd5029-fe71-407e-b920-4cfc403afd60","Removed Azure IP Addresses - 65.52.208.73 & 65.52.240.233 as they are no longer used for Office 365 and should be removed from customer firewalls.","False",,,
,"Exchange Online","7/22/2014 7:00:00 AM","2afd6018-ef91-405d-bb30-3bfd5029fe71","Added 111.221.23.128/25, 132.245.0.0/16, 157.56.0.0/16, & 207.46.198.0/25. These were previously removed during the article merger as they were already included within the existing list of Office 365 subnets and IP addresses. They continue to be duplicated in the Office 365 list (and both lists are still required for Exchange Online to function properly); however, many customers need to understand which services are using which end points and this adds clarity for that purpose.","False",,,
,"Exchange Online","8/12/2014 7:00:00 AM","06dfa303-bfc5-4029-be71-07ef9205cfb4","Added 191.234.140.0/22 and 191.234.224.0/22","False",,,
,"Office 365","8/26/2014 11:00:00 AM","03afd601-8ef8-4106-9fa3-04bfc5029fe7","Added additional Windows Azure Active Directory IP addresses. If customers are currently filtering for AD authentication services, these IP addresses must be added. 23.99.227.124, 23.99.226.167, 23.99.196.232, 23.99.194.77, 23.99.129.26, 23.99.129.173, 23.97.99.4, 23.97.99.164, 23.97.98.128, 23.97.102.90, 23.97.100.92, 23.97.100.76, 23.97.100.152, 23.97.100.105, 23.102.65.221, 23.102.65.203, 23.102.65.171, 23.102.64.255, 23.102.64.16, 191.238.83.220, 191.238.81.69, 191.238.80.160, 191.237.128.159, 191.236.192.179, 191.233.32.201, 191.233.32.111, 168.63.16.141, 168.62.179.4, 168.61.208.197, 168.61.144.76, 138.91.2.212, 138.91.2.210, 138.91.2.208, 138.91.18.52, 138.91.17.43, 138.91.17.108, 137.116.64.162, 137.116.48.69, 137.116.48.66, 137.116.32.61, 137.116.32.43, 137.116.129.62","False",,,
,"Lync Online","9/2/2014 9:15:00 AM","029fe710-6efa-4204-8fc4-02afd6018ef8","Changed134.170.0.0/16 to 134.170.0.0/25 to align with the scope of IP addresses thatare in use.","False",,,
,"Lync Online","9/9/2014 7:31:00 AM","6018ef81-06df-4a30-8bfc-5029fe7007ef","Removed 111.221.23.0/25 as it is no longer in use by Lync Online.","False",,,
,"Office 365 portal and identity","9/30/2014 5:36:00 AM","06dfa304-bfc5-4029-be71-07ef9205cfb4","Added *.cloudapp.net to support Azure Rights Management and categorized the URLs. Added three ranges to support Office 365 authentication 157.55.45.128/25 (2a01:111:f406:1::/64), 191.232.2.128/25 (2a01:111:f406:a003::/64), and 70.37.150.128/25 (2801:80:1d0:1c00::/64).","False",,,
,"Exchange Online","9/30/2014 5:37:00 AM","5029fe70-07ef-4920-9cfb-403afd6018ff","Clarified that *.outlook.com & *.office365.com are required for Exchange Online.","False",,,
,"Lync Online","9/30/2014 5:38:00 AM","3afd6018-ff81-406d-ba30-4bfc5029fe70","Clarified that *.Lync.com is required for Lync Online.","False",,,
