#TYPE Selected.System.Management.Automation.PSCustomObject
"EffectiveDate","Required","ExpressRoute","Value","Guid","PublicationDate","DescriptionIsParsable","OperationType","QuickDescription"
"2/5/2016 12:00:00 AM","Optional: Shared help and support","False","support.office.com","6018ef91-05df-4b30-bbfd-5029fe7107ef","2/8/2016 11:59:40 AM","True","Adding","Adding 8 New FQDNs"
"2/5/2016 12:00:00 AM","Optional: DirSync and AADConnect","False","mscrl.microsoft.com","106efa20-4cfc-4402-afe6-018ef9105dfb","2/8/2016 11:59:40 AM","True","Adding","Adding 9 New FQDNs"
"2/5/2016 12:00:00 AM","Optional: Required for Delve","False","delve.office.com","05dfb303-bfd5-4018-be81-06dfa204cfc4","2/8/2016 11:59:40 AM","True","Adding","Adding 1 New FQDNs"
"2/5/2016 12:00:00 AM","Optional: Required for Office 365 Video","False","cvpreus01m01.streaming.mediaservices.windows.net","79308daf-012e-4638-b615-9e900eb0eafb","2/8/2016 11:59:40 AM","True","Adding","Adding 50 New FQDNs"
"2/5/2016 12:00:00 AM","Skype client quicktips","False","quicktips.skypeforbusiness.com","07efa204-cfc4-402a-bd60-18ef8105dfb3","2/8/2016 11:59:40 AM","True","Adding","Adding 8 New FQDNs"
"2/5/2016 12:00:00 AM","Dirsync and AADConnect","False","mscrl.microsoftonline.com","cfc402af-d601-48ef-8106-dfb303bfc502","2/8/2016 11:59:40 AM","True","Removing","Removing 2 Old FQDNs"
"2/5/2016 12:00:00 AM","Optional: Required for Delve","False","r3.res.outlook.com","cfc402af-e701-47ef-9205-dfb303bfd501","2/8/2016 11:59:40 AM","True","Removing","Removing 3 Old FQDNs"
"2/10/2016 12:00:00 AM","Shared infrastructure","False","2620:1ec:4::160","d8c79b16-e94e-40a8-9789-62b2b9fdce1e","2/10/2016 10:29:02 AM","True","Adding","Adding 24 New endpoints"
"2/17/2016 12:00:00 AM","Optional: Azure AD Connect","False","secure.aadcdn.microsoftonline-p.com","7ef9205c-fb40-43af-9601-8ef8106dfa30","2/10/2016 10:29:02 AM","True","Adding","Adding 1 New FQDNs"
"2/10/2016 12:00:00 AM","Exchange Online","False","2620:1ec:4::153","e50c781f-2029-46ac-b2cd-f7d1f98f71d3","2/10/2016 10:29:02 AM","True","Adding","Adding 8 New IP_Sets"
"2/10/2016 12:00:00 AM","Planner","False","13.107.13.83","7ef9205d-fb30-43bf-9601-8fe8106dfa20","2/10/2016 10:29:02 AM","True","Adding","Adding 4 New IP_Sets"
"2/10/2016 12:00:00 AM","Office 365 ProPlus","False","2620:1ec:5::51","B825cd23-1d96-41ab-ad9a-b04a7e87295e","2/10/2016 10:29:02 AM","True","Adding","Adding 3 New IP_Sets"
"2/10/2016 12:00:00 AM","Office Online","False","2a01:111:202c::205","07efa204-cfc4-402a-bd60-18ef8106dfb3","2/10/2016 10:29:02 AM","True","Adding","Adding 8 New FQDNs"
"2/10/2016 12:00:00 AM","Yammer","False","2620:1ec:4::159","7017ef92-05cf-4b40-bafd-6018fe8106df","2/10/2016 10:29:02 AM","True","Adding","Adding 8 New IP_Sets"
"2/10/2016 12:00:00 AM","Office 365 portal","False","204.79.197.0/24","d6018ef8-106d-4fb3-83bf-d5029fe7107e","2/10/2016 10:29:02 AM","True","Removing","Removing 12 Old IP_Sets"
"2/10/2016 12:00:00 AM","OneNote Online","False","<tenant>-myfiles.sharepoint.com","f8106dfb-303b-4fc5-829f-e7107ef9205c","2/10/2016 10:29:02 AM","True","Adding","Adding 9 New Endpoints"
"3/17/2016 12:00:00 AM","Office 365 portal","False","40.76.1.176","cfc4029f-e701-47ef-9205-dfb303bfd501","2/16/2016 4:25:22 PM","True","Adding","Adding 5 New endpoints"
"2/17/2016 12:00:00 AM","Office 365 portal","False","104.42.231.54","afd6018f-f810-46df-a304-bfc5029fe701","2/16/2016 4:25:22 PM","True","Removing","Removing 5 Old IP_Sets"
"2/17/2016 12:00:00 AM","Exchange Online","False","191.234.192.0/19","ef9204cf-c403-4afd-a018-ef8106dfa304","2/16/2016 4:25:22 PM","True","Removing","Removing 1 Old IP_Sets"
"2/17/2016 12:00:00 AM","Skype for Business","False","191.232.83.64/27","05dfb303-bfd5-4019-be81-06efa204cfc4","2/16/2016 4:25:22 PM","True","Removing","Removing 4 Old IP_Sets"
