"EffectiveDate","Status","SubService","ExpressRoute","Protocol","Port","Value","Guid","PublicationDate","DescriptionIsParsable","OperationType","QuickDescription"
"2/5/2016 12:00:00 AM","Required","Optional: Required for Delve","False","TCP","443","delve.office.com","05dfb303-bfd5-4018-be81-06dfa204cfc4","2/8/2016 11:59:40 AM","True","Adding","Adding 1 New FQDNs"
"2/17/2016 12:00:00 AM","Optional","Azure AD Connect","False","TCP","443","secure.aadcdn.microsoftonline-p.com","7ef9205c-fb40-43af-9601-8ef8106dfa30","2/10/2016 10:29:02 AM","True","Adding","Adding 1 New FQDNs"
"2/17/2016 12:00:00 AM","Required","Exchange Online","False","TCP","443","191.234.192.0/19","ef9204cf-c403-4afd-a018-ef8106dfa304","2/16/2016 4:25:22 PM","True","Removing","Removing 1 Old IP_Sets"
"2/19/2016 12:00:00 AM","Required","Skype for Business Online","False","TCP","443","40.110.0.0/16","5029fe71-07ef-4920-8cfc-402afd6018ef","2/18/2016 4:34:17 PM","True","Removing","Removing 1 Old IP_Sets"
"3/29/2016 12:00:00 AM","Required","Exchange Online","False","TCP","443","191.232.96.0/19","4bfc5029-fe70-407e-b920-5cfb403afd60","2/29/2016 11:41:31 AM","True","Adding","Adding 1 New IP_Sets"
"2/29/2016 12:00:00 AM","Optional","Microsoft Azure Active Directory (MFA)","False","TCP","443","secure.aadcdn.microsoftonline-p.com","105dfb30-3bfd-4502-9fe7-107efa204cfc","2/29/2016 11:41:31 AM","True","Adding","Adding 1 New FQDN"
"3/30/2016 12:00:00 AM","Optional","Azure Rights Management Services (RMS)","False","TCP","443","ecn.dev.virtualearth.net","16a6af7a-78fe-4aff-a0c2-48b0e8b3256b","3/29/2016 12:55:12 PM","True","Adding","Adding 1 New FQDN"
"3/30/2016 12:00:00 AM","Required","Office 365 Video","False","TCP","443","keydelivery.mediaservices.windows.net","d6018fe8-106d-4fa3-84cf-c4029fe7017e","3/29/2016 12:55:12 PM","True","Adding","Adding 2 New FQDNs"
"4/14/2016 12:00:00 AM","Required","Office 365 Portal","False","TCP","443","portal.microsoftonline.com","8e272aa8-da64-4453-8ce3-a78011351710","4/14/2016 12:48:53 PM","True","Adding","Adding 1 New FQDNs"
"4/22/2016 12:00:00 AM","Required","Office 365 shared infrastructure","False","TCP","443","officeclient.microsoft.com","fd6018ef-8106-4dfa-b04b-fc5029fe7007","4/20/2016 7:08:01 PM","True","Adding","Adding 1 New FQDNs"
"7/1/2016 12:00:00 AM","Required","Required for Skype for Business Online","False","TCP","443","52.112.0.0/15","fb403afd-6018-4fe8-906d-fa304bfc5029","5/18/2016 3:08:40 PM","True","Adding","Adding 1 New IP_Sets"
"7/1/2016 12:00:00 AM","Optional","Security and compliance export","False",,,"Compliance.outlook.com","029fe701-7ef9-4205-8fb3-03afd6018fe8","6/1/2016 12:22:39 PM","True","Adding","Adding 1 New FQDNs"
"7/1/2016 12:00:00 AM","Required","Authentication and Identity","True",,,"132.245.165.0/25","07ef9205-cfb4-403a-bd60-18fe8106dfa3","6/1/2016 12:22:42 PM","True","Removing","Removing 1 Old IP_Sets"
"7/1/2016 12:00:00 AM","Required","Exchange Online Protection","True",,,"157.56.111.0/24","106dfa30-4bfc-4502-9fe7-017ef9205cfb","6/1/2016 12:22:53 PM","True","Removing","Removing 1 Old IP_Sets"
"7/1/2016 12:00:00 AM","Required","Exchange Online Protection","True",,,"216.32.180.0/23","029fe710-7ef9-4205-8fb4-03afd6018ef8","6/1/2016 12:22:56 PM","True","Adding","Adding 1 New IP_Sets"
"8/1/2016 12:00:00 AM","Required","Exchange Online Protection","True",,,"40.92.0.0/14","29fe7017-ef92-405c-bb40-3afd6018fe81","6/13/2016 3:06:41 PM","True","Adding","Adding 1 New IP_Sets"
"8/1/2016 12:00:00 AM","Required","Exchange Online Protection","False",,,"40mshrcstorageprod.blob.core.windows.net","7ef9205d-fb30-43bf-9501-9fe8106dfa20","6/13/2016 3:06:43 PM","True","Adding","Adding 1 New FQDNs"
"6/13/2016 12:00:00 AM","Required","Office Online","True",,,"13.94.209.165","8ef9105d-fb30-43bf-9502-9fe7106efa20","6/13/2016 3:06:45 PM","True","Adding","Adding 1 New IP_Sets"
