"EffectiveDate";"Status";"SubService";"ExpressRoute";"Protocol";"Port";"Value";"Guid";"PublicationDate";"DescriptionIsParsable";"OperationType";"QuickDescription"
;;;;;;"N/A";"fa204cfc-402a-4fe6-818e-f9105dfb303b";"7/15/2014 7:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"3bfd5029-fe71-407e-b920-4cfc403afd60";"7/22/2014 7:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"2afd6018-ef91-405d-bb30-3bfd5029fe71";"7/22/2014 7:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"06dfa303-bfc5-4029-be71-07ef9205cfb4";"8/12/2014 7:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"03afd601-8ef8-4106-9fa3-04bfc5029fe7";"8/26/2014 11:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"029fe710-6efa-4204-8fc4-02afd6018ef8";"9/2/2014 9:15:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"6018ef81-06df-4a30-8bfc-5029fe7007ef";"9/9/2014 7:31:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"06dfa304-bfc5-4029-be71-07ef9205cfb4";"9/30/2014 5:36:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"5029fe70-07ef-4920-9cfb-403afd6018ff";"9/30/2014 5:37:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"3afd6018-ff81-406d-ba30-4bfc5029fe70";"9/30/2014 5:38:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"f9105dfb-303b-4fd5-829f-e7106efa204c";"9/30/2014 5:39:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"6018ef81-05df-4b30-bbfd-5029fe7107ef";"9/30/2014 5:40:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"6018ef81-06df-4b30-bbfd-5029fe7107ef";"10/7/2014 9:12:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"7107ef92-04cf-4c40-aafd-6018ef8106df";"10/9/2014 5:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fd6018fe-8106-4dfa-b04b-fc5029fe7017";"10/10/2014 5:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fc402afe-7017-4ef9-a05d-fb303bfd5019";"10/21/2014 10:27:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"04cfc402-afd6-4018-af81-05dfb303bfd5";"10/28/2014 9:04:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"9fe7107e-f920-45cf-b403-afd6018ef810";"10/28/2014 9:04:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fe6018ef-9105-4dfb-b03b-fd5029fe7106";"11/4/2014 3:35:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"017ef920-5dfb-4303-bfd5-019fe8106efa";"11/11/2014 9:18:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"f9205cfb-403a-4fd6-818f-e8106dfa304c";"11/25/2014 8:32:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"6dfa204c-fc40-42af-a701-7ef9205dfb30";"11/25/2014 8:32:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fd5029fe-7107-4ef9-a04c-fc403afd6018";"11/25/2014 8:32:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"efa204cf-c402-4afd-a018-ef9105dfb303";"12/9/2014 8:07:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fc402afe-6017-4ef9-905d-fb303bfd5019";"12/16/2014 3:22:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fe7106ef-a204-4cfc-802a-fd6018ef8105";"12/16/2014 3:23:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"bfc5029f-e701-47ef-9205-cfb303bfd601";"1/13/2015 4:03:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"b303bfd5-019f-4e81-86ef-a204cfc402af";"1/27/2015 2:07:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"4cfc4029-fe70-417e-b920-5dfb303bfd50";"3/17/2015 2:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"bfd5018f-e810-46df-a204-cfc402afe601";"3/17/2015 2:01:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"dfa204cf-c402-4afe-b017-ef9205dfb303";"3/17/2015 2:02:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"ef9205cf-b403-4afd-a018-ff8106dfa304";"3/17/2015 2:03:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"d5019fe7-106e-4fa2-84cf-c402afd6018e";"3/17/2015 2:04:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"29fe7007-ef92-405c-bb40-3afd6018ff81";"3/17/2015 2:05:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"6017ef91-05df-4b30-bbfd-5019fe7106ef";"3/17/2015 2:06:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"ef9205df-b303-4bfd-a018-fe8106dfa204";"3/17/2015 2:07:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"d5018fe8-106d-4fa2-84cf-c402afe7017e";"3/17/2015 2:08:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"6606ac8e-97ca-4c1a-b8af-c54efe774b3c";"3/24/2015 4:52:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"03bfd501-9fe8-4106-afa2-04cfc402afe6";"3/24/2015 4:53:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"04bfc502-9fe7-4017-af92-05cfb403afd6";"3/24/2015 4:54:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fe7106ef-a204-4cfc-802a-fd6018ef9105";"3/24/2015 4:55:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"f9105dfb-303b-4fd5-819f-e7106efa204c";"3/31/2015 7:47:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"e7017ef9-205d-4fb3-83bf-d5019fe8106e";"3/31/2015 7:48:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"afe7017e-f920-45df-b303-bfd5018fe810";"4/7/2015 7:18:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"03bfd601-8fe8-4106-9fa2-04cfc402afe7";"4/14/2015 11:16:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"cfc402af-e601-47ef-9105-dfb303bfd501";"4/21/2015 3:46:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fe8106df-a304-4bfc-9029-fe7017ef9205";"4/21/2015 5:32:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fd5029fe-7107-4efa-a04c-fc402afd6018";"4/28/2015 8:46:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"c4029fe7-017e-4f92-85df-b303bfd5018f";"5/4/2015 10:26:00 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"e7007ef9-205c-4fb4-83af-d6018fe8106d";"5/13/2015 10:09:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"cfc403af-d601-48ef-8106-dfa304bfc502";"5/13/2015 10:09:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"a204cfc4-02af-4e70-97ef-9205dfb303bf";"5/15/2015 8:50:00 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fd5019fe-8106-4efa-a04c-fc402afe6018";"5/15/2015 8:51:00 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"7ef9205d-fb30-43bf-9501-9fe8106efa20";"5/23/2015 11:20:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"107efa20-4cfc-4402-afd6-018ef8106dfb";"5/23/2015 11:21:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"b403afd6-018f-4f81-86df-a304bfc5029f";"6/9/2015 10:50:00 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"e7017ef9-205d-4fb3-83bf-d6018fe8106d";"6/24/2015 6:02:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"8fe8106d-fa30-44bf-8502-9fe7017ef920";"6/30/2015 8:37:00 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fa204cfc-402a-4fe6-817e-f9105dfb303b";"7/8/2015 2:50:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"ef9205cf-b303-4afd-a018-fe8106dfa204";"7/15/2015 1:55:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fb303bfd-5029-4fe7-907e-fa204cfc402a";"7/29/2015 10:30:43 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fe6017ef-9205-4dfb-b03b-fd5019fe8106";"7/29/2015 10:32:43 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"9fe7106e-fa20-44cf-8402-afd6018ef810";"7/29/2015 10:33:43 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fc402afe-6018-4ef9-905d-fb303bfd5029";"7/29/2015 10:34:43 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"8106dfa2-04cf-4c40-a9fe-7017ef9205df";"7/29/2015 10:35:43 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fc5029fe-7017-4ef9-a05c-fb403afd6018";"7/29/2015 10:36:43 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"05cfb403-afd6-4018-be81-06dfa304cfc5";"8/25/2015 9:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"b403afd6-018f-4e81-86df-a304bfc5029f";"8/25/2015 9:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"2a64d570-51e3-42e8-a687-97bbbbf5011c";"8/25/2015 9:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"5cfb403a-fd60-418f-a810-6dfa304cfc40";"8/25/2015 9:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"9fe7107e-f920-44cf-8403-afd6018ef810";"8/25/2015 9:00:00 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"065a41d9-9487-4462-9999-738d75f95996";"9/22/2015 5:37:32 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fa304bfc-5029-4fe7-817e-f9205cfb403a";"9/22/2015 5:37:32 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"4cfc402a-fe70-417e-b920-5dfb303bfd50";"10/6/2015 1:06:40 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"efa204cf-c402-4afe-a018-ef9105dfb303";"10/8/2015 4:43:47 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"7c3eda4c-4390-4784-9eee-6abd55b4d155";"10/22/2015 3:48:37 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"dfa303bf-c502-49fe-b107-ef9205cfb403";"10/26/2015 2:54:58 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"9fe7107e-fa20-44cf-8402-afd6018ef810";"10/28/2015 2:48:45 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"018fe810-6dfa-4204-8fc4-029fe7017ef9";"10/29/2015 4:02:52 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"fe7107ef-9205-4cfb-803a-fd6018ff8106";"11/3/2015 11:39:08 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"204cfc40-2afd-4601-8ef8-105dfb303bfd";"11/3/2015 11:39:08 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"17ef9205-dfb3-403b-bd50-19fe8106dfa2";"11/13/2015 12:09:43 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"e8106dfa-304b-4fc5-829f-e7017ef9205c";"11/18/2015 9:52:20 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"d6018ef8-106d-4fa3-84bf-c5029fe7107e";"11/20/2015 12:15:01 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"9fe7017e-f920-45cf-b403-afd6018fe810";"11/24/2015 9:40:43 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"65663112-17a2-4187-bdc2-d5acee69212c";"11/30/2015 11:33:08 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"9fe8106e-fa20-44cf-8402-afe6018ef910";"12/3/2015 2:45:24 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"d6018ef8-106d-4fa3-84bf-c5029fe7007e";"12/3/2015 2:45:24 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"5cfb403a-fd60-418f-a810-6dfa304bfc50";"12/3/2015 2:45:24 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"402afd60-18ef-4810-adfa-303bfc5029fe";"12/8/2015 3:25:15 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"04bfc502-9fe7-4017-af92-05cfb303bfd6";"12/8/2015 3:25:15 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"18ef8106-dfa3-404b-bc50-29fe7007ef92";"12/10/2015 11:46:10 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"05dfb303-bfd5-4029-be71-07ef9204cfc4";"12/14/2015 3:24:49 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"f9205dfb-303b-4fd5-818f-e8106dfa204c";"12/14/2015 3:24:49 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"d5018fe8-106d-4fa2-84cf-c402afe6017e";"12/15/2015 5:34:53 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"8ef8106d-fa30-44bf-8502-9fe7007ef920";"12/21/2015 2:02:07 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"29fe7007-ef92-405c-bb40-3afd6018fe81";"1/6/2016 12:56:15 PM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"17ef9105-dfb3-403b-bd50-19fe7106efa2";"1/13/2016 11:55:42 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"4bfc5029-fe70-417e-b920-5cfb303bfd60";"1/13/2016 11:55:42 AM";"False";"Unknown";"Unknown - read description"
;;;;;;"N/A";"29fe7017-ef92-405c-bb40-3afd6018fe81";"2/8/2016 11:59:40 AM";"True";"InfoONly";"Information - read description"
